Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
01_RT,6,Q1,Sign,LeftBend,6,10.0,7.0,3,4,0,0,20,0,1,0.0,0.0,0,0,5.0,0.4,0.0,1,0,0.4,0.0,0.0,0.0,0.6182,1.0,0.0,0.0,2291.84,1138.38,2.3,1.9,0.6078,1.0,0.236,0.303,1.2,0.24,1.209,0.718,0.11368,0.0,0.6,0.238,3.6,47.0,1,4.193,6,0,98.676,27.448127832101125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.4,-1,-0.4,0.0,0.38180000000000003,0.0,-1153.46,-0.3999999999999999,0.3922,0.067,-0.96,-0.4910000000000001,-0.11368,-0.362,43.4,-71.22787216789888,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
01_RT,6,Q2,Speed,Speed3,7,10.0,7.0,3,4,0,0,20,0,1,12.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1682.94,1904.93,2.5,3.4,1.0,1.0,0.4,0.111,1.4,1.65,0.462,0.423,0.0,0.0,0.4,0.549,32.4,79.6,1,1.82,7,0,77.648,180.05494505494505,0.0,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.9433999999999999,0.8159340659340659,External_Hazard,Not_Applicable,-12.0,0,0.0,0,0.0,0.0,0.0,0.0,221.99,0.8999999999999999,0.0,-0.28900000000000003,0.25,-0.039000000000000035,0.0,0.14900000000000002,47.199999999999996,102.40694505494506,0.335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.283,0.0,-0.12746593406593398,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.0,1.672,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1687.29,2.7,1.0,0.379,0.0,0.0,0.0,0.283,0.0,0.0,0.0,0.0,0.0,7.0,1.4,306.1,0.777,0.0,0.6,41.4,1.0,4.193,6.0,0.0,0
02_RT,6,Q1,Sign,LeftBend,4,1.0,10.0,1,5,2,0,0,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.7977,0.4008,0.0,0.0,1984.43,1617.76,1.9,1.4,0.7977,0.4008,0.115,0.092,1.8,0.78,0.031,0.006,0.01454,0.00081,0.0,0.0,0.0,0.0,1,1.281,4,0,159.03,41.069476971116316,0.712,0.735,0.76,0.475,0.0,0.0,0.173,0.0,0.135,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.199,0.0,0.6042,0.05542544886807178,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.3969,0.0,-366.6700000000001,-0.5,-0.3969,-0.023000000000000007,-1.02,-0.025,-0.013730000000000001,0.0,0.0,-117.96052302888369,0.02300000000000002,-0.28500000000000003,0.0,-0.173,-0.135,0.0,0.0,0.0,0.0,-0.199,-0.5487745511319282,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,6,Q2,Speed,Speed3,7,1.0,10.0,1,5,2,0,0,0,1,12.0,0.0,0,0,5.0,0.2,0.657,0,0,0.2,0.0,0.0,0.0,0.9425,0.8954,0.0,0.0,2790.41,3411.71,1.4,2.2,0.9425,0.8954,0.12,0.055,1.6,4.6,0.156,0.116,0.00644,0.00041,0.2,0.657,8.7,66.8,1,1.521,7,0,201.03,747.4030243261012,0.0,0.309,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.0,0.0,0.9922000000000001,0.7712031558185405,External_Hazard,Not_Applicable,-12.0,0,0.457,0,-0.2,0.0,-0.04710000000000003,0.0,621.3000000000002,0.8000000000000003,-0.04710000000000003,-0.065,2.9999999999999996,-0.039999999999999994,-0.006030000000000001,0.457,58.099999999999994,546.3730243261012,0.309,0.0,0.0,-0.039,0.0,0.0,0.0,0.0,0.039,0.0,-0.2209968441814596,1.0,12.0,0.0,5.0,0.2,1.204,0.187,0.0,0.0,0.0,0.788,0.0,0.0,0.0,0.0,0.2,0.0,0.9764,0.0,3662.13,1.1,0.9764,0.115,1.107,0.201,0.0,0.0,0.0,0.914,0.0,0.0,0.0,14.0,2.8,3696.07,0.252,0.00354,0.4,33.0,1.0,1.281,4.0,0.0,0
02_RT,6,Q3,Animal,Sheep,6,1.0,10.0,1,5,2,0,0,0,1,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.9032,0.0,0.0,2625.2,0.0,1.6,1.3,-1.0,-0.9032,0.112,0.028,2.0,0.0,0.26,0.063,0.0,0.00155,0.2,0.0,11.6,74.8,1,1.285,6,0,267.76,0.0,0.535,1.285,0.0,0.0,0.0,0.0,0.26,0.0,0.0,0.0,0.0,0.0,0.834,0.0,0.729,0.0,0.0,0.0,0.039,0.0,0.5206,0.0,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,-0.0968,0.0,-2625.2,-0.30000000000000004,0.0968,-0.084,-2.0,-0.197,0.00155,-0.2,63.199999999999996,-267.76,0.7499999999999999,0.0,0.0,-0.26,0.0,0.0,-0.834,-0.729,0.0,-0.039,-0.5206,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.252,0.0,0.0,0.0,0.0,0.188,0.0,0.0,0.0,0.594,0.0,2311.68,1.9,0.265,0.106,0.0,0.0,0.0,0.041,0.0,0.0,0.0,0.0,0.239,16.0,3.2,1527.7,0.538,0.32528,0.4,40.5,1.0,1.521,7.0,0.0,0
03_RT,6,Q1,Sign,LeftBend,7,6.0,1.0,1,2,0,0,96,1,0,48.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.8146,0.8459,0.0,0.0,2932.74,2503.48,1.9,1.4,0.8146,0.8459,0.129,0.106,1.6,0.45,0.026,0.06,0.01669,0.00121,0.0,0.0,0.0,0.2,1,2.224,7,0,218.65,55.34622302158273,0.0,1.327,0.036,0.0,0.0,0.0,0.0,0.0,0.037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.234,0.0,0.9385999999999999,0.40332733812949645,External_Hazard,Not_Applicable,-48.0,0,-0.4,0,-0.2,0.0,0.031299999999999994,0.0,-429.25999999999976,-0.5,0.031299999999999994,-0.023000000000000007,-1.1500000000000001,0.034,-0.01548,0.0,0.2,-163.30377697841726,1.327,-0.036,0.0,0.0,-0.037,0.0,0.0,0.0,0.0,-0.234,-0.5352726618705035,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
03_RT,6,Q2,Speed,Speed3,4,6.0,1.0,1,2,0,0,96,1,0,12.0,37.68,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.8074,0.9998,0.0,0.0,2873.0,2989.74,1.8,3.1,0.8074,0.9998,0.163,0.147,1.8,2.51,0.27,0.008,0.04385,0.0,0.4,0.0,3.1,0.0,1,1.592,4,0,190.642,372.36809045226124,0.0,0.055,0.0,0.0,0.032,0.095,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.243,0.246,0.945,0.7512562814070353,External_Hazard,Not_Applicable,25.68,0,-0.4,0,-0.2,0.0,0.19240000000000002,0.0,116.73999999999978,1.3,0.19240000000000002,-0.016000000000000014,0.7099999999999997,-0.262,-0.04385,-0.4,-3.1,181.72609045226125,0.055,0.0,0.063,0.0,0.0,0.0,0.0,0.0,0.0,0.0030000000000000027,-0.1937437185929647,3.0,36.0,0.0,5.0,0.2,0.127,0.127,0.168,0.0,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.9956,0.0,2511.2,1.5,0.9956,0.108,0.0,0.031,0.201,0.0,0.0,0.0,0.0,0.279,0.0,13.0,2.6,1602.16,0.073,0.0001,0.2,17.9,1.0,2.224,7.0,0.0,0
03_RT,6,Q3,Animal,Sheep,4,6.0,1.0,1,2,0,0,96,1,0,24.0,63.22,0,0,5.0,0.0,0.527,1,0,0.0,0.0,0.0,0.0,1.0,0.9734,0.0,0.0,2266.25,3200.92,2.0,1.4,-1.0,-0.9734,0.124,0.108,2.2,2.11,0.56,0.015,0.0,0.00014,0.4,0.0,33.1,0.0,1,1.898,4,0,176.666,272.4762908324552,0.038,0.677,0.0,0.0,0.0,0.0,0.0,0.0,0.106,0.0,0.169,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.273,0.0,0.8827999999999999,0.643308746048472,External_Hazard,Not_Applicable,39.22,0,0.527,-1,0.0,0.0,-0.026599999999999957,0.0,934.6700000000001,-0.6000000000000001,0.026599999999999957,-0.016,-0.0900000000000003,-0.545,0.00014,-0.4,-33.1,95.81029083245522,0.639,0.0,0.0,0.0,-0.106,-0.169,0.0,0.0,0.0,-0.273,-0.23949125395152793,2.0,24.0,0.0,5.0,0.0,0.0,0.0,0.14,0.0,0.0,1.715,0.0,0.0,0.0,0.0,0.0,0.0,0.2261,0.0,3636.11,1.1,0.0088,0.012,0.0,0.0,0.168,0.0,0.0,1.862,0.0,0.0,0.033,14.0,2.8,2533.55,0.803,0.08464,0.2,89.0,1.0,1.592,4.0,0.0,0
04_RT,6,Q1,Sign,LeftBend,7,5.0,10.0,1,4,0,0,74,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.7324,0.9047,0.0,0.0,3252.18,1690.54,1.6,0.9,0.7324,0.9047,0.078,0.165,1.8,0.97,0.131,0.063,0.04441,3e-05,0.4,0.0,39.2,0.0,1,1.036,7,1,555.4399999999999,55.019305019305015,0.553,0.421,1.058,0.154,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.175,0.0,0.0,0.0,0.0,0.0,0.4427999999999999,0.44498069498069504,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.1722999999999999,0.0,-1561.6399999999999,-0.7000000000000001,0.1722999999999999,0.08700000000000001,-0.8300000000000001,-0.068,-0.044379999999999996,-0.4,-39.2,-500.4206949806949,-0.13200000000000006,-0.904,0.0,0.0,0.0,0.0,0.0,-1.175,0.0,0.0,0.0021806949806951192,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
04_RT,6,Q2,Speed,Speed3,7,5.0,10.0,1,4,0,0,74,1,0,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,2224.63,3087.05,1.8,1.9,1.0,1.0,0.113,0.137,2.4,3.9,0.055,0.006,0.0,0.0,0.2,0.0,0.0,0.0,1,1.025,7,0,231.642,636.4,0.0,0.032,0.0,0.0,0.0,0.0,0.326,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.0,0.237,0.9348000000000001,0.671219512195122,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,0.0,0.0,862.4200000000001,0.09999999999999987,0.0,0.024000000000000007,1.5,-0.049,0.0,-0.2,0.0,404.758,0.032,0.0,0.0,-0.326,0.0,0.0,0.0,0.0,0.068,0.237,-0.2635804878048781,0.0,0.0,0.0,5.0,0.2,0.521,0.521,0.296,0.0,0.0,0.52,0.0,0.0,0.217,0.0,0.0,0.0,0.9966,0.0,3882.83,1.2,0.9966,0.067,0.0,0.529,0.259,0.0,0.0,0.672,0.0,0.0,0.064,13.0,2.6,3702.58,0.339,0.0001,0.4,52.6,1.0,1.036,7.0,1.0,0
04_RT,6,Q3,Animal,Sheep,7,5.0,10.0,1,4,0,0,74,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.8473,0.4754,0.0,0.0,3011.75,0.0,1.7,1.2,-0.8473,-0.4754,0.074,0.033,1.6,0.0,0.252,0.04,0.03358,0.00114,0.4,0.0,55.5,46.4,1,1.378,7,0,198.726,0.0,1.075,0.484,0.0,0.0,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.68,0.0,0.065,0.0,0.0,0.0,0.0,0.0,0.6296,0.648766328011611,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,-0.37190000000000006,0.0,-3011.75,-0.5,0.37190000000000006,-0.040999999999999995,-1.6,-0.212,-0.03244,-0.4,-9.100000000000001,-198.726,-0.591,0.0,-0.032,0.0,0.0,0.0,-0.68,-0.065,0.0,0.0,0.019166328011611,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.856,0.0,0.0,0.0,0.0,0.0,0.0,0.4892,0.0,3539.61,1.7,0.1674,0.12,0.0,0.0,0.032,0.135,0.0,0.844,0.0,0.0,0.034,15.0,3.0,3214.31,0.229,0.31951,0.4,22.5,1.0,1.025,7.0,0.0,0
05_RT,6,Q1,Sign,LeftBend,4,11.0,5.0,2,4,1,0,36,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.7462,0.978,0.0,0.0,2632.47,3295.63,1.8,1.5,0.7462,0.978,0.117,0.128,1.2,1.64,0.021,0.013,0.09989,0.00153,0.0,0.0,0.0,0.0,1,1.831,4,0,190.64000000000001,179.24631348989624,0.363,0.328,2.692,0.513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.733,0.1,0.24239999999999995,0.4860731840524304,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,0.2318,0.0,663.1600000000003,-0.30000000000000004,0.2318,0.010999999999999996,0.43999999999999995,-0.008000000000000002,-0.09836,0.0,0.0,-11.393686510103777,-0.034999999999999976,-2.1790000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.633,0.24367318405243044,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
05_RT,6,Q2,Speed,Speed3,7,11.0,5.0,2,4,1,0,36,0,1,0.0,0.0,0,0,5.0,0.6,0.0,0,0,0.4,0.0,0.0,0.0,0.6728,0.9936,0.0,0.0,2751.5,2917.64,1.6,1.4,0.6728,0.9936,0.122,0.098,1.6,3.01,0.038,0.011,0.01963,5e-05,0.0,0.0,0.0,0.0,1,1.331,7,0,312.604,506.52892561983475,0.031,0.302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.255,0.0,0.0,0.0,0.0,0.0,0.0,0.039,0.034,0.037,0.9359999999999999,0.7160030052592037,External_Hazard,Not_Applicable,0.0,0,-0.6,0,-0.4,0.0,0.3208000000000001,0.0,166.13999999999987,-0.20000000000000018,0.3208000000000001,-0.023999999999999994,1.4099999999999997,-0.027,-0.01958,0.0,0.0,193.92492561983477,0.271,0.0,0.0,0.0,0.0,-0.255,0.0,0.0,0.039,0.0029999999999999957,-0.21999699474079626,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.604,0.0,0.0,0.0,1.0,0.0,0.0,0.9998,0.0,2895.09,2.1,0.9998,0.138,0.0,0.0,0.032,0.0,0.0,0.635,0.0,0.0,0.167,10.0,2.0,2082.75,0.039,0.0,0.0,0.0,1.0,1.831,4.0,0.0,0
05_RT,6,Q3,Animal,Sheep,7,11.0,5.0,2,4,1,0,36,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.6029,1.0,0.0,0.0,2454.5,1884.73,1.8,1.7,-0.6029,-1.0,0.106,0.135,1.4,1.08,0.033,0.008,0.01143,0.0,0.0,0.0,0.0,0.0,1,0.93,7,0,230.26799999999997,132.2043010752688,1.222,0.693,0.0,0.0,0.358,0.0,0.0,0.0,0.0,0.0,0.071,0.0,0.294,0.0,0.0,0.0,0.0,0.0,0.262,0.17,0.5586,0.07204301075268824,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,0.3971,0.0,-569.77,-0.10000000000000009,-0.3971,0.029000000000000012,-0.31999999999999984,-0.025,-0.01143,0.0,0.0,-98.06369892473117,-0.529,0.0,-0.358,0.0,0.0,-0.071,-0.294,0.0,0.0,-0.092,-0.4865569892473117,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.168,0.0,0.0,0.288,0.288,0.14,0.12,0.0,0.2,0.0,0.7286,0.0,2455.34,1.6,-0.101,0.121,0.0,0.0,0.273,0.0,0.0,0.17,0.072,0.032,0.102,9.0,1.8,1529.1,0.04,0.58021,0.0,0.0,1.0,1.331,7.0,0.0,0
06_RT,6,Q1,Sign,LeftBend,7,42.0,0.0,5,3,0,0,61,0,1,0.0,0.0,0,0,5.0,0.4,0.605,0,0,0.2,0.0,0.0,0.0,0.7535,0.5771,0.0,0.0,2160.39,1969.44,1.7,1.1,0.7535,0.5771,0.096,0.163,1.2,1.21,0.365,0.134,0.10043,0.00024,0.2,0.0,21.8,0.0,1,1.653,7,0,76.126,81.45190562613429,0.767,0.0,0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6934,1.0,External_Hazard,Not_Applicable,0.0,0,0.20499999999999996,0,-0.2,0.0,-0.1764,0.0,-190.94999999999982,-0.5999999999999999,-0.1764,0.067,0.010000000000000009,-0.23099999999999998,-0.10019,-0.2,-21.8,5.325905626134286,-0.767,-0.766,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3066,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
06_RT,6,Q2,Speed,Speed3,7,42.0,0.0,5,3,0,0,61,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.4,0.0,0.0,0.0,0.6333,1.0,0.0,0.0,2599.92,3236.67,1.4,1.6,0.6298,1.0,0.111,0.106,1.0,2.27,0.125,0.005,0.15262,0.0,0.0,0.0,0.0,0.0,1,1.764,7,0,125.81400000000001,411.84807256235825,0.0,0.241,0.0,0.0,0.0,0.0,0.238,0.0,0.0,0.0,0.143,0.0,0.0,0.0,0.0,0.0,0.628,0.143,0.0,0.0,0.7982,0.782312925170068,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.4,0.0,0.3667,0.0,636.75,0.20000000000000018,0.3702,-0.0050000000000000044,1.27,-0.12,-0.15262,0.0,0.0,286.03407256235823,0.241,0.0,0.0,-0.238,0.0,-0.143,0.0,0.0,-0.485,0.0,-0.015887074829932013,0.0,0.0,0.0,5.0,0.2,0.0,0.0,1.736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.9551,0.0,2523.91,1.3,0.9551,0.085,0.0,0.0,0.226,0.0,0.0,0.0,0.0,0.0,0.0,12.0,2.4,1114.08,0.303,0.01188,0.4,38.7,1.0,1.653,7.0,0.0,0
06_RT,6,Q3,Animal,Sheep,7,42.0,0.0,5,3,0,0,61,0,1,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.747,0.0,0.0,2604.94,2500.84,1.5,1.0,-1.0,-0.747,0.088,0.004,1.0,3.28,0.174,0.021,0.0,0.00989,0.4,0.0,46.4,100.0,1,1.221,7,1,89.99,316.7567567567567,1.168,0.072,0.0,0.0,0.0,0.0,0.0,0.331,0.0,0.0,0.0,0.0,0.0,0.0,0.068,0.03,0.0,0.0,0.162,0.0,0.7204,0.6453726453726454,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,-0.253,0.0,-104.09999999999991,-0.5,0.253,-0.08399999999999999,2.28,-0.153,0.00989,-0.4,53.6,226.7667567567567,-1.0959999999999999,0.0,0.0,0.331,0.0,0.0,0.0,-0.038000000000000006,0.0,-0.162,-0.07502735462735466,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,1.155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8241,0.0,2529.45,1.4,0.8241,0.108,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,1.2,472.87,0.004,0.10291,0.0,8.2,1.0,1.764,7.0,0.0,0
