Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_rwheel_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision
01_RT,4,Q1,Speed,Speed3,7,10.0,7.0,3,4,0,0,15,0,1,0.0,0.0,0,0,5.0,0.0,0.319,0,0,0.0,0.0,0.0,0.0,0.3733,0.9749,0.0,0.0,1484.5,1879.93,0.4,2.8,-0.3733,-0.9749,0.223,0.201,2.6,4.47,0.271,0.202,0.09142,0.00084,0.6,0.319,34.7,19.9,1,3.13,7,0,98.188,254.75399361022366,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.9134185303514377,External_Hazard,Not_Applicable,0.0,0,0.319,0,0.0,0.0,0.6015999999999999,0.0,395.43000000000006,2.4,-0.6015999999999999,-0.021999999999999992,1.8699999999999997,-0.069,-0.09058000000000001,-0.28099999999999997,-14.800000000000004,156.56599361022364,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.08658146964856228,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
01_RT,4,Q2,Sign,DuckS,7,10.0,7.0,3,4,0,0,15,0,1,0.0,20.13,0,0,5.0,0.2,1.007,1,0,0.0,0.0,0.0,0.0,0.9422,0.0871,0.0,0.0,1946.96,1905.21,2.8,3.5,-0.9422,-0.0871,0.217,0.121,4.2,2.01,0.209,0.235,0.01021,0.00067,0.6,0.336,0.0,32.2,1,2.98,7,0,253.22199999999998,182.5,0.0,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.031,0.21,0.443,0.0,0.0,0.0,0.9052,0.8979865771812081,External_Hazard,Not_Applicable,20.13,0,0.8069999999999999,-1,0.0,0.0,-0.8551000000000001,0.0,-41.75,0.7000000000000002,0.8551000000000001,-0.096,-2.1900000000000004,0.025999999999999995,-0.00954,-0.26399999999999996,32.2,-70.72199999999998,0.094,0.0,0.0,0.0,0.0,0.0,0.0,0.179,-0.443,0.0,-0.0072134228187918925,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32,0.0,0.0,0.0,1.0,0.0,0.0,0.8741,0.0,1884.69,2.9,-0.8741,0.224,0.031,0.0,0.0,0.0,0.0,0.443,0.0,0.0,0.0,20.0,4.0,1239.13,0.261,0.04719,0.2,0.0,1.0,3.13,7.0,0.0,1
01_RT,4,Q3,Animal,Cat,2,10.0,7.0,3,4,0,0,15,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.9791,1.0,0.0,0.0,1201.97,1553.33,3.0,1.9,-0.9791,-1.0,0.276,0.11,3.8,3.88,0.791,0.384,0.00124,0.0,0.4,0.324,48.0,62.9,1,3.09,2,0,117.178,226.11326860841427,0.042,0.96,0.0,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.9916,0.6239482200647248,External_Hazard,Not_Applicable,0.0,0,-0.4,0,0.0,0.0,0.02090000000000003,0.0,351.3599999999999,-1.1,-0.02090000000000003,-0.16600000000000004,0.08000000000000007,-0.40700000000000003,-0.00124,-0.07600000000000001,14.899999999999999,108.93526860841428,0.9179999999999999,0.132,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,-0.3676517799352752,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.2,0.0,0.7531,0.0,1310.81,3.3,-0.7531,0.269,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.0,4.2,670.08,0.813,0.04467,0.4,37.4,1.0,2.98,7.0,0.0,0
02_RT,4,Q1,Speed,Speed3,7,1.0,10.0,1,5,2,0,23,0,1,0.0,0.0,0,0,5.0,0.2,0.639,0,0,0.0,0.639,0.0,0.0,0.9794,0.3344,0.0,0.0,2713.6,2498.75,1.6,1.8,-0.9794,-0.3344,0.142,0.104,2.4,3.84,0.084,0.024,0.00138,0.00703,0.0,0.0,0.0,0.0,1,1.564,7,0,295.74,437.6278772378517,0.866,0.31,0.0,0.0,0.038,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.368,0.0,0.0,0.8192,0.5664961636828645,External_Hazard,Not_Applicable,0.0,0,0.439,0,0.639,0.0,-0.645,0.0,-214.8499999999999,0.19999999999999996,0.645,-0.03799999999999999,1.44,-0.060000000000000005,0.00565,0.0,0.0,141.88787723785168,-0.556,0.0,-0.038,0.0,0.0,0.0,0.0,0.0,0.368,0.0,-0.25270383631713556,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
02_RT,4,Q2,Sign,DuckS,7,1.0,10.0,1,5,2,0,23,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.0939,0.0186,0.0,0.0,2872.92,2315.76,0.2,1.2,0.0868,-0.0169,0.077,0.143,2.8,1.99,0.059,0.042,0.00496,0.00027,0.2,0.0,37.2,0.0,1,1.504,7,0,423.63800000000003,185.85106382978722,0.0,0.064,0.0,0.0,0.29,0.0,0.0,0.0,0.195,0.0,0.0,0.0,0.0,0.0,0.979,0.2,0.0,0.0,0.428,0.0,0.6216,0.8244680851063829,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.0753,0.0,-557.1599999999999,1.0,-0.1037,0.06599999999999999,-0.8099999999999998,-0.016999999999999994,-0.00469,-0.2,-37.2,-237.7869361702128,0.064,0.0,-0.29,0.0,-0.195,0.0,0.0,-0.7789999999999999,0.0,-0.428,0.20286808510638288,3.0,36.0,0.0,5.0,0.2,0.0,0.0,0.148,0.0,0.0,0.0,0.0,0.08,0.0,0.0,0.2,0.0,0.9718,0.0,2170.83,1.3,-0.9718,0.109,0.0,0.0,0.166,0.0,0.0,0.0,0.0,0.273,0.0,15.0,3.0,1589.47,0.012,0.00528,0.0,0.0,1.0,1.564,7.0,0.0,0
02_RT,4,Q3,Animal,Cat,4,1.0,10.0,1,5,2,0,23,0,1,12.0,0.0,0,0,5.0,0.0,0.703,0,0,0.0,0.0,0.0,0.0,0.9705,0.3313,0.0,0.0,1812.29,1628.86,1.8,1.2,-0.9705,-0.3313,0.129,0.037,1.6,1.41,0.133,0.121,0.00336,0.00119,0.0,0.0,4.5,56.3,1,1.422,4,0,113.522,75.75246132208157,0.137,0.899,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.477,0.0,0.0,0.0,0.8772,0.3677918424753867,External_Hazard,Not_Applicable,-12.0,0,0.703,0,0.0,0.0,-0.6392,0.0,-183.43000000000006,-0.6000000000000001,0.6392,-0.092,-0.19000000000000017,-0.01200000000000001,-0.00217,0.0,51.8,-37.76953867791843,0.762,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.477,0.0,-0.5094081575246132,1.0,12.0,0.0,5.0,0.4,0.0,0.56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0549,0.0,2738.27,2.0,0.012,0.131,0.0,0.536,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0,2.6,1614.0,0.05,0.00427,0.0,0.0,1.0,1.504,7.0,0.0,0
03_RT,4,Q1,Speed,Speed3,5,6.0,1.0,1,2,0,0,69,1,0,12.0,63.94,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.4519,0.8159,0.0,0.0,2544.59,2684.04,1.4,2.3,-0.4519,-0.8159,0.264,0.043,2.0,2.49,1.949,1.019,0.11207,0.02744,0.4,0.0,17.4,66.7,1,2.815,5,0,237.71999999999997,331.76554174067496,0.136,0.218,0.0,0.0,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9728,0.852930728241563,External_Hazard,Not_Applicable,51.94,0,0.0,0,0.0,0.0,0.36399999999999993,0.0,139.44999999999982,0.8999999999999999,-0.36399999999999993,-0.22100000000000003,0.4900000000000002,-0.9300000000000002,-0.08463000000000001,-0.4,49.300000000000004,94.04554174067499,0.08199999999999999,0.0,0.196,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.11986927175843698,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,1
03_RT,4,Q2,Sign,DuckS,6,6.0,1.0,1,2,0,0,69,1,0,24.0,41.75,0,0,5.0,0.2,0.348,0,0,0.0,0.0,0.0,0.0,0.0263,0.0349,0.0,0.0,2934.91,2012.91,0.8,2.5,0.0203,0.0349,0.141,0.165,2.2,2.09,0.692,0.024,0.00051,0.00035,0.2,0.0,34.5,0.0,1,2.874,6,0,345.582,160.48364648573417,0.0,0.597,0.487,0.0,0.223,0.0,0.0,0.0,0.164,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.0,0.0,0.0,0.8252,0.5605427974947809,External_Hazard,Not_Applicable,17.75,0,0.14799999999999996,0,0.0,0.0,0.0086,0.0,-921.9999999999998,1.7,0.014600000000000002,0.02400000000000002,-0.11000000000000032,-0.6679999999999999,-0.00016000000000000004,-0.2,-34.5,-185.09835351426582,0.597,-0.487,-0.223,0.0,-0.164,0.0,0.0,0.666,0.0,0.0,-0.2646572025052192,2.0,24.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.272,1.0,0.2,0.0,0.8283,0.0,2769.35,2.4,-0.8283,0.17,0.0,0.0,0.067,0.0,0.0,0.419,0.0,0.034,0.098,14.0,2.8,1716.92,0.801,0.02285,0.4,42.8,1.0,2.815,5.0,0.0,0
03_RT,4,Q3,Animal,Cat,4,6.0,1.0,1,2,0,0,69,1,0,24.0,0.0,0,0,5.0,0.0,0.294,0,0,0.0,0.294,0.0,0.0,0.8721,0.8731,0.0,0.0,2224.84,2098.63,1.6,1.2,-0.8721,-0.8731,0.125,0.1,1.2,0.88,0.035,0.081,0.02232,0.02704,0.0,0.0,0.0,10.3,1,3.406,4,0,105.324,84.28068115091015,0.239,0.953,0.039,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.119,0.0,0.0,0.0,0.0,0.662,0.136,0.0,0.0,0.812,0.3517322372284204,External_Hazard,Not_Applicable,-24.0,0,0.294,0,0.294,0.0,0.0010000000000000009,0.0,-126.21000000000004,-0.40000000000000013,-0.0010000000000000009,-0.024999999999999994,-0.31999999999999995,0.046,0.004720000000000002,0.0,10.3,-21.043318849089843,0.714,-0.039,0.0,0.0,0.0,1.119,0.0,0.0,-0.526,0.0,-0.46026776277157966,4.0,48.0,0.0,5.0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2245,0.0,2701.18,2.5,-0.1981,0.136,0.182,0.0,0.0,0.0,0.0,0.0,0.0,0.072,0.0,13.0,2.6,1306.19,0.032,0.08553,0.0,0.0,1.0,2.874,6.0,0.0,0
04_RT,4,Q1,Speed,Speed3,7,5.0,10.0,1,4,0,0,43,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.7751,1.0,0.0,0.0,4301.72,4759.52,1.8,1.0,-0.7751,-1.0,0.078,0.014,2.6,3.61,0.254,0.036,0.05143,0.0,0.4,0.0,59.1,75.7,1,1.386,7,1,619.422,842.1139971139972,0.609,0.659,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.465,0.0,0.0,0.0,0.7852,0.5245310245310245,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.2249,0.0,457.8000000000002,-0.8,-0.2249,-0.064,1.0099999999999998,-0.218,-0.05143,-0.4,16.6,222.69199711399722,0.050000000000000044,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.465,0.0,-0.2606689754689755,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
04_RT,4,Q2,Sign,DuckS,1,5.0,10.0,1,4,0,0,43,1,0,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.5509,0.1106,0.0,0.0,3539.46,2968.56,1.4,2.0,-0.3561,0.1105,0.114,0.051,3.0,1.77,0.155,0.107,0.32156,0.00431,0.0,0.0,0.0,63.2,0,1.693,1,1,562.438,203.61488481984642,0.0,0.0,0.265,0.0,1.038,0.0,0.0,0.0,0.347,0.0,0.0,0.0,0.0,0.0,0.0,0.449,0.036,0.0,0.0,0.0,0.6628000000000001,0.7347903130537508,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.4402999999999999,0.0,-570.9000000000001,0.6000000000000001,0.4666,-0.063,-1.23,-0.048,-0.31725000000000003,0.0,63.2,-358.82311518015354,0.0,-0.265,-1.038,0.0,-0.347,0.0,0.0,0.449,-0.036,0.0,0.0719903130537507,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.842,0.0,0.0,0.74,0.0,0.0,0.34,0.0,0.0,0.0,1.0,0.0,4729.54,1.5,-1.0,0.092,0.0,0.0,0.334,0.0,0.0,0.886,0.0,0.0,0.101,14.0,2.8,3659.84,0.445,0.0,0.2,57.6,1.0,1.386,7.0,1.0,0
04_RT,4,Q3,Animal,Cat,3,5.0,10.0,1,4,0,0,43,1,0,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3115.17,2055.72,1.2,0.9,-1.0,-1.0,0.071,0.066,2.2,0.44,0.137,0.006,0.0,0.0,0.4,0.0,63.2,39.6,1,2.269,3,1,327.38,29.916262670780075,0.078,2.242,0.0,0.0,0.266,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.307,0.0,0.805,0.011899515204936154,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,0.0,0.0,-1059.4500000000003,-0.29999999999999993,0.0,-0.0049999999999999906,-1.7600000000000002,-0.131,0.0,-0.4,-23.6,-297.4637373292199,2.164,0.0,-0.266,0.0,0.0,0.0,0.0,0.0,-0.324,-0.307,-0.7931004847950639,0.0,0.0,0.0,5.0,0.2,1.027,0.0,0.0,0.0,0.0,0.968,0.0,0.0,0.0,0.0,0.2,0.0,0.1018,0.0,2682.39,1.0,-0.0263,0.093,0.74,0.0,0.237,0.032,0.0,0.932,0.0,0.0,0.0,13.0,2.6,2212.98,0.133,0.01218,0.2,37.0,0.0,1.693,1.0,1.0,0
05_RT,4,Q1,Speed,Speed3,7,11.0,5.0,2,4,1,0,26,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.8477,0.5812,0.0,0.0,2776.93,3204.17,2.2,2.3,-0.8477,-0.5812,0.126,0.166,2.0,3.86,0.016,0.011,0.04923,0.00185,0.0,0.0,0.0,0.0,1,1.036,7,0,357.222,760.7239382239383,0.868,0.216,0.136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.395,0.0,0.0,0.0,0.7202,0.7915057915057916,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,-0.26649999999999996,0.0,427.24000000000024,0.09999999999999964,0.26649999999999996,0.04000000000000001,1.8599999999999999,-0.005000000000000001,-0.047380000000000005,0.0,0.0,403.5019382239383,-0.652,-0.136,0.0,0.0,0.0,0.0,0.0,0.0,-0.395,0.0,0.07130579150579164,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
05_RT,4,Q2,Sign,DuckS,7,11.0,5.0,2,4,1,0,26,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.9508,0.2276,0.0,0.0,2242.15,0.0,2.5,2.5,-0.9508,0.2276,0.142,0.152,1.8,0.0,0.003,0.001,0.00798,0.00087,0.0,0.0,0.0,0.0,1,0.859,7,0,177.96800000000002,0.0,0.129,0.306,0.0,0.0,0.18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,1.064,0.0,0.0,0.0,0.65,0.6437718277066355,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,-0.7232,0.0,-2242.15,0.0,1.1784,0.010000000000000009,-1.8,-0.002,-0.007109999999999999,0.0,0.0,-177.96800000000002,0.177,0.0,-0.18,0.0,0.0,0.0,0.0,-0.377,-1.064,0.0,-0.006228172293364476,0.0,0.0,0.0,5.0,0.2,2.172,0.0,0.016,0.0,0.0,0.848,0.0,0.0,0.0,0.0,0.0,0.0,0.9361,0.0,2242.15,2.5,-0.9361,0.142,0.377,0.129,0.084,0.0,0.0,1.064,0.0,0.0,0.0,9.0,1.8,889.84,0.003,0.01513,0.0,0.0,1.0,1.036,7.0,0.0,0
05_RT,4,Q3,Animal,Cat,7,11.0,5.0,2,4,1,0,26,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.7249,0.6303,0.0,0.0,1399.94,2156.43,2.4,2.6,-0.7249,-0.6303,0.153,0.16,1.0,1.28,0.037,0.002,0.12797,0.00169,0.0,0.0,0.0,0.0,1,0.781,7,0,31.881999999999998,120.48655569782329,0.705,0.29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8338000000000001,0.6286811779769527,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.09460000000000002,0.0,756.4899999999998,0.20000000000000018,0.09460000000000002,0.007000000000000006,0.28,-0.034999999999999996,-0.12628,0.0,0.0,88.60455569782329,-0.415,0.0,0.0,0.0,0.0,0.0,-0.126,0.0,0.0,0.0,-0.20511882202304743,0.0,0.0,0.0,5.0,0.4,0.033,0.0,0.0,0.0,0.0,0.456,0.0,0.0,0.0,0.0,0.2,0.0,0.2707,0.0,3063.45,3.0,-0.2422,0.166,0.034,0.0,0.031,0.0,0.0,0.614,0.0,0.0,0.0,10.0,2.0,1506.73,0.038,0.12086,0.0,0.0,1.0,0.859,7.0,0.0,0
06_RT,4,Q1,Speed,Speed3,7,42.0,0.0,5,3,0,0,68,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.9685,0.9244,0.0,0.0,1965.72,3309.69,2.0,1.2,-0.9685,-0.9244,0.132,0.008,2.4,2.84,0.098,0.165,0.00774,0.00361,0.2,0.0,4.0,100.0,1,1.759,7,0,189.924,438.7720295622513,0.0,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.702,0.071,0.0,0.0,0.8596,0.8055713473564525,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,-0.04410000000000003,0.0,1343.97,-0.8,0.04410000000000003,-0.124,0.43999999999999995,0.067,-0.00413,-0.2,96.0,248.8480295622513,0.271,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.631,0.0,-0.0540286526435475,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,0
06_RT,4,Q2,Sign,DuckS,7,42.0,0.0,5,3,0,0,68,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.0,0.0,0.0,0.0,0.8081,0.182,0.0,0.0,2589.45,0.0,1.9,2.1,-0.8056,0.182,0.126,0.164,2.0,0.0,0.004,0.046,0.12209,0.0189,0.0,0.0,0.0,0.0,1,1.49,7,0,223.448,0.0,0.0,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.086,0.742,0.339,0.0,0.0,0.0,0.915,0.030872483221476538,External_Hazard,Not_Applicable,0.0,0,-0.2,0,0.0,0.0,-0.6261000000000001,0.0,-2589.45,0.20000000000000018,0.9876,0.038000000000000006,-2.0,0.041999999999999996,-0.10319,0.0,0.0,-223.448,0.702,0.0,0.0,0.0,0.0,0.0,0.0,0.656,-0.339,0.0,-0.8841275167785235,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.2,0.0,0.5784,0.0,2937.33,1.1,-0.5784,0.133,0.0,0.0,0.0,0.0,0.0,0.536,0.0,0.0,0.0,10.0,2.0,1487.39,0.316,0.05729,0.2,5.8,1.0,1.759,7.0,0.0,0
