Participant_ID,Route_ID,Event,Question_Type,Specific_Target,Confidence,Driving_Years_Num,Video_Game_Years_Num,Age_Num,Driving_Hours_Num,Video_Game_Hours_Num,Experienced_Lag_Bin,Subjective_Mental_Demand_Num,Gender_Female,Gender_Male,Before_Blink_Rate_BPM,During_Blink_Rate_BPM,Before_Disrupted,During_Disrupted,Before_Duration_s,Before_Fine_SRR,During_Fine_SRR,Before_Hazard_Encountered,During_Hazard_Encountered,Before_Major_SRR,During_Major_SRR,Before_Max_Brake,During_Max_Brake,Before_Mean_Abs_Steering,During_Mean_Abs_Steering,Before_Mean_Brake,During_Mean_Brake,Before_Mean_Saccadic_Velocity,During_Mean_Saccadic_Velocity,Before_Mean_Speed_mph,During_Mean_Speed_mph,Before_Mean_Steering,During_Mean_Steering,Before_Mean_Throttle,During_Mean_Throttle,Before_Saccade_Rate_Hz,During_Saccade_Rate_Hz,Before_Speed_Variance,During_Speed_Variance,Before_Steer_Variance,During_Steer_Variance,Before_TRR,During_TRR,Before_Zero_Throttle_Pct,During_Zero_Throttle_Pct,Target_Accuracy,Target_Latency,Target_Confidence,Target_Severe_Overload,Before_Scanpath_Rate_px_s,During_Scanpath_Rate_px_s,Before_Raw_Dwell_Target_Object,During_Raw_Dwell_Target_Object,Before_Raw_Dwell_Animal_Distractor,During_Raw_Dwell_Animal_Distractor,Before_Raw_Dwell_speed_Distractor,During_Raw_Dwell_speed_Distractor,Before_Raw_Dwell_cone_Distractor,During_Raw_Dwell_cone_Distractor,Before_Raw_Dwell_name_Distractor,During_Raw_Dwell_name_Distractor,Before_Raw_Dwell_lwheel_Distractor,During_Raw_Dwell_lwheel_Distractor,Before_Raw_Dwell_map_Distractor,During_Raw_Dwell_map_Distractor,Before_Raw_Dwell_bumper_Distractor,During_Raw_Dwell_bumper_Distractor,Before_Raw_Dwell_Sign_Distractor,During_Raw_Dwell_Sign_Distractor,Before_Raw_Dwell_rwheel_Distractor,During_Raw_Dwell_rwheel_Distractor,Before_Road_Gaze_Pct,During_Road_Gaze_Pct,Target_Category,Name_Recall_Strategy,Delta_Blink_Rate_BPM,Delta_Disrupted,Delta_Fine_SRR,Delta_Hazard_Encountered,Delta_Major_SRR,Delta_Max_Brake,Delta_Mean_Abs_Steering,Delta_Mean_Brake,Delta_Mean_Saccadic_Velocity,Delta_Mean_Speed_mph,Delta_Mean_Steering,Delta_Mean_Throttle,Delta_Saccade_Rate_Hz,Delta_Speed_Variance,Delta_Steer_Variance,Delta_TRR,Delta_Zero_Throttle_Pct,Delta_Scanpath_Rate_px_s,Delta_Raw_Dwell_Target_Object,Delta_Raw_Dwell_Animal_Distractor,Delta_Raw_Dwell_speed_Distractor,Delta_Raw_Dwell_cone_Distractor,Delta_Raw_Dwell_name_Distractor,Delta_Raw_Dwell_lwheel_Distractor,Delta_Raw_Dwell_map_Distractor,Delta_Raw_Dwell_bumper_Distractor,Delta_Raw_Dwell_Sign_Distractor,Delta_Raw_Dwell_rwheel_Distractor,Delta_Road_Gaze_Pct,Prev_Q_After_Blink_Count,Prev_Q_After_Blink_Rate_BPM,Prev_Q_After_Disrupted,Prev_Q_After_Duration_s,Prev_Q_After_Fine_SRR,Prev_Q_After_Fix_Dwell_Animal,Prev_Q_After_Fix_Dwell_Sign,Prev_Q_After_Fix_Dwell_bumper,Prev_Q_After_Fix_Dwell_cone,Prev_Q_After_Fix_Dwell_lwheel,Prev_Q_After_Fix_Dwell_map,Prev_Q_After_Fix_Dwell_name,Prev_Q_After_Fix_Dwell_rwheel,Prev_Q_After_Fix_Dwell_speed,Prev_Q_After_Hazard_Encountered,Prev_Q_After_Major_SRR,Prev_Q_After_Max_Brake,Prev_Q_After_Mean_Abs_Steering,Prev_Q_After_Mean_Brake,Prev_Q_After_Mean_Saccadic_Velocity,Prev_Q_After_Mean_Speed_mph,Prev_Q_After_Mean_Steering,Prev_Q_After_Mean_Throttle,Prev_Q_After_Raw_Dwell_Animal,Prev_Q_After_Raw_Dwell_Sign,Prev_Q_After_Raw_Dwell_bumper,Prev_Q_After_Raw_Dwell_cone,Prev_Q_After_Raw_Dwell_lwheel,Prev_Q_After_Raw_Dwell_map,Prev_Q_After_Raw_Dwell_name,Prev_Q_After_Raw_Dwell_rwheel,Prev_Q_After_Raw_Dwell_speed,Prev_Q_After_Saccade_Count,Prev_Q_After_Saccade_Rate_Hz,Prev_Q_After_Scanpath_Length_px,Prev_Q_After_Speed_Variance,Prev_Q_After_Steer_Variance,Prev_Q_After_TRR,Prev_Q_After_Zero_Throttle_Pct,Prev_Q_Target_Accuracy,Prev_Q_Target_Latency,Prev_Q_Target_Confidence,Prev_Q_Target_Severe_Overload,Target_Post_Q_Collision,Route,Before_Raw_Dwell_r2_Distractor,During_Raw_Dwell_r2_Distractor,Delta_Raw_Dwell_r2_Distractor,Prev_Q_After_Fix_Dwell_r2,Prev_Q_After_Raw_Dwell_r2,Is_First_Event,Before_Dwell_Proportion_Target_Object,Before_Dwell_Proportion_Animal_Distractor,Before_Dwell_Proportion_speed_Distractor,Before_Dwell_Proportion_cone_Distractor,Before_Dwell_Proportion_name_Distractor,Before_Dwell_Proportion_lwheel_Distractor,Before_Dwell_Proportion_map_Distractor,Before_Dwell_Proportion_bumper_Distractor,Before_Dwell_Proportion_Sign_Distractor,Before_Dwell_Proportion_rwheel_Distractor,Before_Dwell_Proportion_r2_Distractor,Before_Diffuse_Gaze_Pct,During_Diffuse_Gaze_Pct,Before_Scanpath_Rate_deg_s,Before_Mean_Saccadic_Velocity_deg_s,During_Scanpath_Rate_deg_s,During_Mean_Saccadic_Velocity_deg_s
01_RT,1,Q1,Animal,Fox,1.0,10.0,7.0,3,4,0,1,83,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.565,1.0,0.0,0.0,2461.65,2267.24,1.8,2.3,-0.565,-1.0,0.347,0.471,1.4,1.28,1.197,1.072,0.17011,0.0,0.4,0.638,36.4,6.0,0,3.137,1.0,1,145.856,156.78673892253744,0.166,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.151,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.435,0.0,-194.4100000000003,0.4999999999999998,-0.435,0.124,-0.1199999999999998,-0.125,-0.17011,0.238,-30.4,10.930738922537444,-0.166,0.0,0.0,0.0,0.0,0.0,0.0,-0.151,0.0,0.0,0.0634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0332,0.0,0.0,0.0,0.0,0.0,0.0,0.030199999999999998,0.0,0.0,0.0,0.9366,1.0,10.875315072,183.5455473,11.690332827542237,169.04994888
01_RT,1,Q3,Sign,FrogS,6.0,10.0,7.0,3,4,0,1,83,0,1,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.8728,1.0,0.0,0.0,1670.16,1314.83,2.4,1.5,0.8229,1.0,0.426,0.2,2.2,0.75,0.823,0.352,0.16062,0.0,0.4,0.187,50.3,52.2,1,5.334,6.0,0,138.23,18.30708661417323,0.0,1.858,0.271,0.173,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.509,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,0.1271999999999999,0.0,-355.33000000000015,-0.8999999999999999,0.1771,-0.2259999999999999,-1.4500000000000002,-0.471,-0.16062,-0.213,1.9000000000000057,-119.92291338582676,1.858,-0.098,0.0,0.0,0.0,0.0,0.0,-0.509,0.0,0.0,-0.2247649043869516,0.0,0.0,0.0,5.0,0.0,0.812,0.969,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1261.82,2.5,1.0,0.366,0.443,0.986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,1.6,248.97,0.637,0.0,0.2,53.7,1.0,3.137,2.0,0.0,1,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.054200000000000005,0.0,0.0,0.0,0.0,0.0,0.1018,0.0,0.0,0.0,0.844,0.6192350956130483,10.30670526,124.53046992000002,1.3650129921259844,98.03635446
02_RT,1,Q1,Animal,Fox,6.0,1.0,10.0,1,5,2,0,23,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.5082,0.8726,0.0,0.0,2956.26,2124.75,0.8,1.8,-0.5064,-0.8726,0.389,0.115,2.6,1.51,0.311,0.317,0.11197,0.00603,0.4,0.301,44.0,76.2,1,3.32,6.0,0,351.83000000000004,129.17168674698797,0.0,0.725,0.0,0.0,0.43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.377,0.0,0.488,0.0,0.0,0.0,0.0,0.0,0.9246,1.0,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,0.3644,0.0,-831.5100000000002,1.0,-0.3662000000000001,-0.274,-1.09,0.006,-0.10594,-0.099,32.2,-222.65831325301207,0.725,0.0,-0.43,0.0,0.0,0.0,-0.377,-0.488,0.0,0.0,0.0406265060240963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.086,0.0,0.0,0.0,0.0754,0.09759999999999999,0.0,0.0,0.0,0.741,0.7816265060240963,26.233148460000002,220.42465812000003,9.631299307228918,158.4256095
02_RT,1,Q3,Sign,FrogS,5.0,1.0,10.0,1,5,2,0,23,0,1,12.0,0.0,0,0,5.0,0.4,0.0,0,1,0.2,0.0,0.0,0.0,0.4717,1.0,0.0,0.0,3029.68,2801.38,1.3,0.9,0.4523,1.0,0.271,0.282,2.4,2.36,0.798,0.641,0.11626,0.0,0.4,0.498,32.4,42.3,0,8.04,5.0,1,340.966,316.57338308457713,0.0,0.0,0.0,0.163,0.203,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.191,0.276,0.0,0.0,0.332,0.176,1.0,1.0,External_Hazard,Not_Applicable,-12.0,0,-0.4,1,-0.2,0.0,0.5283,0.0,-228.29999999999973,-0.4,0.5477000000000001,0.0109999999999999,-0.04,-0.157,-0.11626,0.0979999999999999,9.9,-24.392616915422877,0.0,0.163,-0.203,0.0,0.0,0.0,0.0,0.085,0.0,-0.156,0.0687074626865671,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.648,0.704,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.8962,0.0,3379.41,1.9,-0.8962,0.394,0.0,0.0,0.304,0.099,0.0,0.0,0.0,0.107,0.0,14.0,2.8,2279.28,0.89,0.01412,0.2,42.7,1.0,2.38,2.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.040600000000000004,0.0,0.0,0.0,0.0,0.0382,0.0,0.0664,0.0,0.8548,0.9235074626865672,25.423106892000003,225.89900015999999,23.60434458955224,208.87649556000002
03_RT,1,Q1,Animal,Fox,7.0,6.0,1.0,1,2,0,0,79,1,0,60.0,29.24,0,0,5.0,0.2,0.487,0,0,0.2,0.0,0.0,0.0,0.8089,0.6506,0.0,0.0,2396.22,1625.37,1.9,1.9,-0.8089,-0.6506,0.142,0.132,3.2,0.97,0.082,0.022,0.03508,0.00154,0.0,0.0,0.0,0.0,1,2.052,7.0,0,326.882,100.48732943469784,0.0,0.389,0.0,0.0,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.324,0.0,0.0,0.0,0.316,0.0,1.0,1.0,External_Hazard,Not_Applicable,-30.76,0,0.287,0,-0.2,0.0,-0.1583,0.0,-770.8499999999999,0.0,0.1583,-0.0099999999999999,-2.2300000000000004,-0.06,-0.03354,0.0,0.0,-226.39467056530216,0.389,0.0,-0.36,0.0,0.0,0.0,0.0,-0.324,0.0,-0.316,0.0104288499025341,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.072,0.0,0.0,0.0,0.0,0.0648,0.0,0.0632,0.0,0.8,0.8104288499025342,24.372975684,178.66695564,7.492536257309941,121.19083794
03_RT,1,Q3,Sign,FrogS,4.0,6.0,1.0,1,2,0,0,79,1,0,24.0,37.71,0,0,5.0,0.2,0.314,0,0,0.0,0.314,0.0,0.0,0.9184,0.9019,0.0,0.0,3084.92,3069.05,1.8,1.6,0.9184,0.9019,0.128,0.054,2.2,1.26,0.061,0.348,0.01099,0.02001,0.0,0.0,0.1,52.0,1,3.182,4.0,0,261.226,263.0075424261471,0.0,0.04,0.584,0.41,0.168,0.032,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.831,0.125,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,13.71,0,0.1139999999999999,0,0.314,0.0,-0.0164999999999999,0.0,-15.86999999999989,-0.1999999999999999,-0.0164999999999999,-0.074,-0.9400000000000002,0.287,0.00902,0.0,51.9,1.781542426147098,0.04,-0.174,-0.136,0.0,0.0,0.0,0.0,-0.706,0.0,0.0,0.1258394720301697,1.0,12.0,0.0,5.0,0.0,0.0,0.0,0.412,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5347,0.0,2504.72,1.4,0.4414,0.123,0.0,0.0,0.564,0.0,0.0,0.0,0.0,0.0,0.072,11.0,2.2,1100.75,0.096,0.22066,0.0,0.0,1.0,2.085,1.0,1.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.11679999999999999,0.033600000000000005,0.0,0.0,0.0,0.0,0.1662,0.0,0.0,0.0,0.6834,0.8092394720301698,19.477533012000002,230.01780504,19.610368378378382,228.83450610000003
04_RT,1,Q1,Animal,Fox,4.0,5.0,10.0,1,4,0,0,67,1,0,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.9456,0.9335,0.0,0.0,2855.48,2615.51,1.4,1.6,-0.9456,-0.9335,0.116,0.0,2.8,0.77,0.288,0.282,0.013,0.00514,0.4,0.0,32.5,100.0,1,2.6,4.0,0,375.854,44.27307692307692,0.0,0.272,0.0,0.0,0.359,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.085,0.0,0.0,0.0,0.127,0.0,0.98,1.0,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,-0.0121,0.0,-239.9699999999998,0.2000000000000001,0.0121,-0.116,-2.03,-0.006,-0.0078599999999999,-0.4,67.5,-331.58092307692306,0.272,0.0,-0.359,0.0,0.0,0.0,-0.1,-0.085,0.0,-0.127,0.0295846153846155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0718,0.0,0.0,0.0,0.02,0.017,0.0,0.0254,0.0,0.8657999999999999,0.8953846153846154,28.024425948,212.91029976000002,3.3010891615384614,195.01765662000003
04_RT,1,Q3,Sign,FrogS,4.0,5.0,10.0,1,4,0,0,67,1,0,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.0,0.0,0.0,0.0,0.8957,0.6491,0.0,0.0,2512.92,1355.85,1.8,1.4,0.8957,0.6491,0.116,0.039,1.8,0.42,0.529,0.073,0.01137,0.03321,0.2,0.42,40.7,73.3,1,2.38,4.0,0,280.56,25.77731092436975,0.0,0.512,0.274,0.102,0.0,0.0,0.0,0.0,0.0,0.0,0.026,0.0,0.071,0.0,0.464,0.0,0.0,0.0,0.0,0.0,0.9858,1.0,External_Hazard,Not_Applicable,0.0,0,-0.4,0,0.0,0.0,-0.2466,0.0,-1157.0700000000002,-0.4000000000000001,-0.2466,-0.077,-1.38,-0.456,0.02184,0.2199999999999999,32.599999999999994,-254.78268907563023,0.512,-0.172,0.0,0.0,0.0,-0.026,-0.071,-0.464,0.0,0.0,-0.0909831932773108,0.0,0.0,0.0,5.0,0.2,0.0,0.0,0.0,0.0,0.348,0.172,0.0,0.0,0.0,0.0,0.2,0.0,0.731,0.0,3459.86,1.6,0.0507,0.128,0.0,0.0,0.0,0.039,0.397,0.109,0.0,0.0,0.0,10.0,2.0,2838.45,0.463,0.60101,0.4,42.5,1.0,1.494,7.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0548,0.0,0.0,0.0,0.0052,0.014199999999999999,0.09280000000000001,0.0,0.0,0.0,0.833,0.7420168067226891,20.91911472,187.36834104000002,1.9220078571428574,101.0948877
05_RT,1,Q1,Animal,Fox,7.0,11.0,5.0,2,4,1,0,23,0,1,0.0,0.0,0,0,5.0,0.2,0.0,0,0,0.2,0.0,0.0,0.0,0.8892,0.3026,0.0,0.0,2206.97,1705.8,2.0,2.3,-0.8892,-0.3026,0.134,0.132,1.0,2.46,0.107,0.001,0.0292,0.00372,0.0,0.0,0.0,0.0,1,1.218,7.0,0,168.324,203.7848932676519,0.364,0.329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.666,0.0,0.064,0.399,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.2,0,-0.2,0.0,-0.5866,0.0,-501.16999999999985,0.2999999999999998,0.5866,-0.002,1.46,-0.106,-0.02548,0.0,0.0,35.4608932676519,-0.0349999999999999,0.0,0.0,0.0,0.0,0.0,0.0,-0.666,0.335,0.0,-0.3789011494252872,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0728,0.0,0.0,0.0,0.0,0.0,0.0,0.1332,0.0128,0.0,0.0,0.7811999999999999,0.4022988505747126,12.550574088000001,164.55609714,15.194609211822662,127.1878596
05_RT,1,Q3,Sign,FrogS,1.0,11.0,5.0,2,4,1,0,23,0,1,0.0,0.0,0,0,5.0,0.4,0.287,0,0,0.4,0.287,0.0,0.0,0.7387,0.9691,0.0,0.0,2187.58,2056.49,2.2,2.3,0.7387,0.9691,0.14,0.128,1.2,1.44,0.03,0.01,0.05955,0.00439,0.0,0.0,0.0,0.0,0,3.48,1.0,1,133.04000000000002,169.3505747126437,0.0,1.185,0.696,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.302,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.113,0,-0.113,0.0,0.2303999999999999,0.0,-131.09000000000017,0.0999999999999996,0.2303999999999999,-0.012,0.24,-0.0199999999999999,-0.05516,0.0,0.0,36.31057471264367,1.185,-0.696,0.0,0.0,0.0,0.0,0.0,-0.302,0.0,0.0,-0.1409172413793104,0.0,0.0,0.0,5.0,0.4,1.16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.7779,0.0,1671.41,2.4,0.7779,0.134,0.696,1.025,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,0.8,267.63,0.008,0.05416,0.0,0.0,1.0,3.191,7.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.1392,0.0,0.0,0.0,0.0,0.0,0.060399999999999995,0.0,0.0,0.0,0.8004,0.6594827586206896,9.919728480000002,163.11033996,12.62711755172414,153.33600737999998
06_RT,1,Q1,Animal,Fox,7.0,42.0,0.0,5,3,0,0,92,0,1,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.9996,0.9869,0.0,0.0,2501.33,1781.02,0.9,1.8,-0.9996,-0.9869,0.102,0.123,2.4,1.11,0.079,0.018,0.0,0.00018,0.0,0.0,0.0,0.0,1,1.809,7.0,0,294.024,76.69430624654505,0.0,0.407,0.0,0.0,0.0,0.0,0.0,0.0,0.032,0.0,0.405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.729,0.0,0.9936,1.0,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,-0.0127,0.0,-720.31,0.9,0.0127,0.021,-1.2899999999999998,-0.061,0.00018,0.0,0.0,-217.32969375345493,0.407,0.0,0.0,0.0,-0.032,-0.405,0.0,0.0,0.0,-0.729,0.0082138197899391,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0064,0.081,0.0,0.0,0.0,0.14579999999999999,0.0,0.7668,0.7750138197899392,21.923017488,186.50416746,5.718480862354893,132.79641324
06_RT,1,Q3,Sign,FrogS,7.0,42.0,0.0,5,3,0,0,92,0,1,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,1.0,0.8008,0.0,0.0,2695.83,3827.66,0.8,1.6,1.0,0.8008,0.072,0.02,1.6,1.0,0.221,0.106,0.0,0.02671,0.2,0.0,57.9,71.5,1,1.993,7.0,0,241.818,206.11640742599096,0.0,0.841,1.107,0.035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.86,0.0,0.0,0.0,0.0,0.0,0.329,0.0,0.8280000000000001,1.0,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,-0.1992,0.0,1131.83,0.8,-0.1992,-0.0519999999999999,-0.6000000000000001,-0.115,0.02671,-0.2,13.6,-35.70159257400903,0.841,-1.072,0.0,0.0,0.0,0.0,-0.86,0.0,0.0,-0.329,0.0196616156547917,0.0,0.0,0.0,5.0,0.4,0.0,0.0,0.0,0.0,0.452,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.7564,0.0,2503.56,1.2,0.0437,0.103,0.0,0.0,0.0,0.0,0.459,0.0,0.0,0.0,0.0,7.0,1.4,760.83,0.477,0.64109,0.2,52.9,1.0,1.798,7.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.22139999999999999,0.0,0.0,0.0,0.0,0.172,0.0,0.0,0.0658,0.0,0.5408,0.5604616156547917,18.030433716,201.00647646000002,15.368451570496738,285.39798492
07_RT,1,Q1,Animal,Fox,7.0,21.0,36.0,3,1,2,1,70,1,0,0.0,0.0,0,0,5.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0485,0.1338,0.0,0.0,2804.64,1397.75,0.0,0.4,-0.0485,-0.1338,0.0,0.864,2.2,0.62,0.0,0.216,0.00047,6e-05,0.0,0.616,100.0,2.5,1,1.624,7.0,1,237.238,24.43965517241379,0.0,0.446,0.0,0.0,0.067,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.609,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,0.0,0,0.0,0.0,0.0853,0.0,-1406.89,0.4,-0.0853,0.864,-1.58,0.216,-0.00041,0.616,-97.5,-212.79834482758625,0.446,0.0,-0.067,0.0,0.0,0.0,0.0,-1.609,0.0,0.0,0.0605694581280789,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0134,0.0,0.0,0.0,0.0,0.3218,0.0,0.0,0.0,0.6648,0.7253694581280788,17.688939756,209.11956768,1.822269568965517,104.2190355
07_RT,1,Q3,Sign,FrogS,3.0,21.0,36.0,3,1,2,1,70,1,0,0.0,0.0,0,0,5.0,0.4,0.0,0,0,0.2,0.0,0.0,0.0,0.1755,0.0187,0.0,0.0,2736.64,0.0,1.0,0.4,0.1077,-0.0187,0.197,0.06,2.4,0.0,0.593,0.035,0.0288,0.0,0.4,0.0,31.4,44.1,0,1.11,3.0,1,389.872,0.0,0.0,0.0,0.0,0.478,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.374,0.0,0.0,0.0,0.0,0.0,1.0,1.0,External_Hazard,Not_Applicable,0.0,0,-0.4,0,-0.2,0.0,-0.1568,0.0,-2736.64,-0.6,-0.1264,-0.137,-2.4,-0.5579999999999999,-0.0288,-0.4,12.700000000000005,-389.872,0.0,0.478,0.0,0.0,0.0,0.0,0.0,-0.374,0.0,0.0,-0.3558306306306306,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,3314.38,2.8,-1.0,0.19,0.0,0.0,0.0,0.0,0.0,0.162,0.0,0.0,0.0,6.0,1.2,1459.81,0.596,0.0,0.4,2.4,1.0,1.637,5.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0748,0.0,0.0,0.0,0.9252,0.5693693693693694,29.069636064,204.04935168,0.0,0.0
